Num,Id,Name,Type,UnitPrice
0,35830e88-d807-45c1-9b9b-815a53401d3a, Strawberry Juice, Juice, 7000
1,01bb5e14-9847-42c8-b334-efcdcadcae76, Red Velvet Cake, Velvet, 6500
2,b885273f-2576-4edf-980e-00095b8cbe7a, Mocha Coffee, Coffee, 6000
3,bdd1e8b8-902c-48db-9a6b-e899f59cdf4a, Red Velvet Cake, Velvet, 6500
4,a5b10b98-be0e-4d3c-ab26-16c536e1fe90, Watermelon Juice, Juice, 7000
5,1e52ba3b-734f-479a-a5ce-d038f4137abc, Vanilla Coffee, Coffee, 5000
6,e22170ce-8cbf-40ca-a1f8-9f756f22a47a, Watermelon Juice, Juice, 7000
7,5c42e832-d298-4a78-b6b1-d9232262ae8e, Carrot Cake, Cake, 6000
8,203725ef-0609-49b7-a8e9-68b2d3d2f6e4, Butter Cake, Cake, 5000
9,6446b156-4cd4-43a1-ac27-0dd15537cec0, Red Velvet Cake, Velvet, 6500
10,73ab0ead-a61f-4941-883d-6107acf2b63e, Apple Juice, Juice, 7000
11,7cc7bf98-a848-4d44-89c6-cf4249c0fe27, Americano Coffee, Coffee, 3000
12,da710942-b2bf-4759-ba8e-262a4e35de96, Strawberry Juice, Juice, 7000
13,f6834cca-595b-439c-85bb-fd7e8921409a, Cheese Cake, Cake, 5500
14,dc2ff741-f406-46bf-92b9-5c85f4336cd7, Grape Juice, Juice, 7000
15,c45feb79-b3bd-4209-80cf-aab7f0c86891, Cheese Cake, Cake, 5500
16,9c38a5ac-2669-4400-9179-10d90fff430d, Strawberry Juice, Juice, 7000
17,c8602ed6-aec9-4869-bf34-b572331ea067, Carrot Cake, Cake, 6000
18,34c84abb-aa66-4a39-badd-8f09ac63c70d, Strawberry Juice, Juice, 7000
19,4ff649c3-223c-4733-91bb-525262971666, Apple Juice, Juice, 7000
20,bf809075-98ce-43c6-9819-30e37f9ade96, Butter Cake, Cake, 5000
